feature_id,feature_name,branch_name,components,description,status
FT-001,Authentication & Authorization,feature/FT-001-auth,"routers/auth.py, routers/social_auth.py, utils/auth.py, utils/email_sender.py, utils/otp.py, frontend/src/context/AuthContext.jsx, frontend/src/pages/Login.jsx","Local email+password login with OTP 2FA via Gmail SMTP; Google OAuth2 and GitHub OAuth2 SSO; JWT token issuance (7-day TTL); admin role management; account activation/deactivation",merged
FT-002,Document Upload Pipeline,feature/FT-002-doc-upload,"routers/agent.py (upload endpoint), utils/doc_extractor.py, utils/smart_chunker.py, backend/uploads/, frontend/src/context/UploadContext.jsx, frontend/src/pages/DocUpload.jsx","Upload PDF/DOCX/TXT files; smart chunking to split document into per-endpoint segments; text extraction layer; upload toast notifications; auth warnings for credential-required docs",merged
FT-003,Chat-Based API Creation,feature/FT-003-chat-builder,"routers/agent.py (chat endpoint), agents/input_classifier.py, agents/parsing_agent.py, frontend/src/pages/ChatBuilder.jsx","Natural language conversation to create API definitions; InputClassifier routes to CHAT mode; ParsingAgent extracts API structure from free-text message; session state machine orchestration",merged
FT-004,Manual API Creation,feature/FT-004-manual-api,"routers/agent.py (manual endpoint), agents/api_saver.py, frontend/src/pages/ManualBuilder.jsx","Structured form-based API creation bypassing LLM pipeline; all confidence scores set HIGH; direct path to HITL_PENDING then SAVED; no AI involvement",merged
FT-005,AI Agent Pipeline,feature/FT-005-agent-pipeline,"agents/orchestrator.py, agents/input_classifier.py, agents/parsing_agent.py, agents/schema_agent.py, agents/reconciliation_agent.py, agents/confidence_agent.py, agents/schema_validator.py","State machine (INIT→CLASSIFYING→PARSING→SCHEMA_GENERATING→RECONCILING→CONFIDENCE_SCORING→HITL_PENDING); BaseAgent abstraction; retry logic; session state persistence; parallel extraction and reconciliation",merged
FT-006,Schema Generation & Validation,feature/FT-006-schema-gen,"agents/schema_agent.py, agents/schema_validator.py, utils/deterministic_extractor.py, utils/endpoint_validator.py","Deterministic extraction of HTTP method/path/params via regex (no LLM); LLM enrichment for names/descriptions/schemas; auto-fix hallucinations; endpoint validator anchors method and path; OpenAPI-compatible schema output",merged
FT-007,Reconciliation Agent,feature/FT-007-reconciliation,"agents/reconciliation_agent.py","Merges conflicts between parallel endpoint extractions from multi-pass schema generation; deduplication; conflict resolution strategy; maintains field-level audit trail",merged
FT-008,Confidence Scoring,feature/FT-008-confidence,"agents/confidence_agent.py","Per-field confidence scoring (HIGH/MEDIUM/LOW/MISSING); highlights uncertain fields for human reviewer; confidence_map stored in agent_session; drives HITL UI indicators",merged
FT-009,Human-in-the-Loop Validation,feature/FT-009-hitl,"routers/agent.py (hitl/confirm/discard endpoints), agents/api_test_agent.py, agents/api_saver.py, frontend/src/pages/HITLValidator.jsx","Human review and edit of AI-generated schema; merge human edits with draft_api; post-HITL validation pipeline (SchemaValidator→ApiTestAgent→ApiSaver); save_anyway override flag; live endpoint testing",merged
FT-010,API Registry Management,feature/FT-010-registry,"routers/registry.py, models/api_definition.py, models/api_endpoint.py, frontend/src/pages/Registry.jsx","CRUD for API definitions and endpoints; visibility control (PRIVATE/TEAM/PUBLIC); versioning; tag management; auth config management per API; endpoint-level PATCH/DELETE",merged
FT-011,ChatGPT Tool Integration,feature/FT-011-chatgpt-integration,"routers/chatgpt.py, translators/openai_translator.py, models/chatgpt_connection.py, frontend/src/pages/ChatGPTHub.jsx","Connect/disconnect APIs as ChatGPT tools; convert ApiDefinition→OpenAI function calling schema; stable tool name generation (t_{api_id}_{ep_id}); agentic GPT-4o chat loop with tool calls; tool call logging; session stats",merged
FT-012,Tool Execution Engine,feature/FT-012-tool-executor,"orchestrator/tool_orchestrator.py, utils/encryption.py","Server-side proxy for executing tool calls; parallel asyncio execution; retry with exponential backoff (max 2 retries, 0.5s base); auth injection (API_KEY/BEARER/BASIC/OAUTH2); path parameter substitution; 15s timeout; credentials decrypted at execution time only",merged
FT-013,Context & Session Management,feature/FT-013-context-layer,"context/context_layer.py, routers/chatgpt.py (session endpoints)","In-memory per-session conversation history; rich system prompt from connected APIs; 10 pair history trim; 2-hour idle session TTL; asyncio-safe singleton; chatgpt session CRUD endpoints",merged
FT-014,LLM Client Abstraction,feature/FT-014-llm-client,"llm/client.py","AsyncOpenAI wrapper for GPT-4o; chat() and chat_json() modes; enforced JSON response mode; MOCK_LLM flag for local dev; built-in prompt templates for classification/parsing/enrichment; token tracking",merged
FT-015,Monitoring & Activity Tracking,feature/FT-015-monitoring,"routers/monitor.py, models/tool_call_logs.py, models/token_usage.py","Session status tracking; API test summaries; execution metrics; tool call logs per API; token usage and cost tracking per user/session",merged
FT-016,Subscription & Credits,feature/FT-016-subscription,"routers/subscription.py, models/users.py (credits field)","Credit-based usage metering; subscription tier access control; credits field on user model; subscription router (stub — future Stripe integration)",merged
FT-017,Database Schema & Migrations,feature/FT-017-database,"backend/database.py, backend/models/, backend/alembic/","SQLAlchemy ORM models; Alembic migrations; SQLite default/PostgreSQL production; JSON/JSONB columns for flexible schema storage; user isolation via user_id indexes",merged
FT-018,Internationalization,feature/FT-018-i18n,"frontend/src/i18n/, frontend/src/context/LanguageContext.jsx","Multi-language support (EN/ES/FR/etc.); React context-based language switching; i18n translation files",merged
